corpus,layer,head,gqa_group,region,block_size,top_k,metric,contrast,mean_difference,documents,ci_low,ci_high
hotpotqa,0,1,0,remote,32,8,jaccard,semantic_minus_fixed,-0.006944444444444531,4,-0.05214646464646472,0.042448523698523616
hotpotqa,0,1,0,remote,64,4,jaccard,semantic_minus_fixed,0.05803571428571433,4,5.551115123125783e-17,0.1160714285714286
hotpotqa,0,1,0,remote,64,8,jaccard,semantic_minus_fixed,0.019444444444444514,4,-0.007447916666666576,0.04375000000000004
hotpotqa,0,2,0,local,16,4,jaccard,semantic_minus_fixed,-0.02916666666666662,4,-0.11517857142857141,0.030684523809523925
hotpotqa,0,2,0,local,16,8,jaccard,semantic_minus_fixed,0.07291666666666669,4,0.018055555555555658,0.10833333333333334
hotpotqa,0,2,0,local,32,4,jaccard,semantic_minus_fixed,0.060416666666666674,4,0.025000000000000022,0.11250000000000004
hotpotqa,0,2,0,local,32,8,jaccard,semantic_minus_fixed,0.053977272727272735,4,-0.0026515151515151825,0.10694444444444451
hotpotqa,0,2,0,local,64,4,jaccard,semantic_minus_fixed,0.045833333333333365,4,-0.008333333333333304,0.10000000000000003
hotpotqa,0,2,0,local,64,8,jaccard,semantic_minus_fixed,0.00814393939393937,4,-0.02260101010101012,0.04513888888888887
hotpotqa,0,2,0,remote,16,4,jaccard,semantic_minus_fixed,0.01681547619047616,4,-0.01339285714285715,0.04776785714285703
hotpotqa,0,2,0,remote,16,8,jaccard,semantic_minus_fixed,0.0563159063159063,4,0.028757353757353665,0.09487734487734498
hotpotqa,0,2,0,remote,32,4,jaccard,semantic_minus_fixed,-0.0895833333333334,4,-0.17708333333333343,-0.03333333333333338
hotpotqa,0,2,0,remote,32,8,jaccard,semantic_minus_fixed,0.018648018648018766,4,-0.06900252525252515,0.09603243978243994
hotpotqa,0,2,0,remote,64,4,jaccard,semantic_minus_fixed,0.0008928571428571119,4,-0.04732142857142854,0.040781249999999825
hotpotqa,0,2,0,remote,64,8,jaccard,semantic_minus_fixed,0.04046717171717176,4,0.011111111111111238,0.06982323232323229
hotpotqa,0,3,0,local,16,4,jaccard,semantic_minus_fixed,0.019345238095238,4,-0.02916666666666673,0.06785714285714273
hotpotqa,0,3,0,local,16,8,jaccard,semantic_minus_fixed,0.09987373737373745,4,0.057828282828282895,0.14419191919191937
hotpotqa,0,3,0,local,32,4,jaccard,semantic_minus_fixed,0.12708333333333335,4,0.04375000000000004,0.25416666666666665
hotpotqa,0,3,0,local,32,8,jaccard,semantic_minus_fixed,0.08023989898989903,4,0.0037878787878786947,0.1852904040404041
hotpotqa,0,3,0,local,64,4,jaccard,semantic_minus_fixed,0.07916666666666669,4,0.05416666666666675,0.11458333333333334
hotpotqa,0,3,0,local,64,8,jaccard,semantic_minus_fixed,0.015593434343434326,4,-0.0022159090909091702,0.0319444444444445
hotpotqa,0,3,0,remote,16,4,jaccard,semantic_minus_fixed,0.06696428571428564,4,0.012499999999999983,0.1325892857142857
hotpotqa,0,3,0,remote,16,8,jaccard,semantic_minus_fixed,0.016515429015429045,4,-0.10079503829503833,0.13382589632589642
hotpotqa,0,3,0,remote,32,4,jaccard,semantic_minus_fixed,0.07842261904761913,4,0.02931547619047631,0.1324404761904762
hotpotqa,0,3,0,remote,32,8,jaccard,semantic_minus_fixed,-0.012698412698412653,4,-0.043524531024530966,0.024873737373737492
hotpotqa,0,3,0,remote,64,4,jaccard,semantic_minus_fixed,-0.02202380952380953,4,-0.0620758928571428,0.0017857142857142794
hotpotqa,0,3,0,remote,64,8,jaccard,semantic_minus_fixed,0.017361111111111105,4,-0.01796875000000002,0.04722222222222222
hotpotqa,0,4,0,local,16,4,jaccard,semantic_minus_fixed,0.15922619047619047,4,0.036160714285714324,0.25714285714285706
hotpotqa,0,4,0,local,16,8,jaccard,semantic_minus_fixed,0.0800505050505051,4,0.043055555555555625,0.11862373737373733
hotpotqa,0,4,0,local,32,4,jaccard,semantic_minus_fixed,0.08750000000000005,4,0.050000000000000044,0.12500000000000003
hotpotqa,0,4,0,local,32,8,jaccard,semantic_minus_fixed,0.11470959595959598,4,0.08030303030303032,0.14911616161616165
hotpotqa,0,4,0,local,64,4,jaccard,semantic_minus_fixed,0.030059523809523786,4,0.004166666666666652,0.05833333333333329
hotpotqa,0,4,0,local,64,8,jaccard,semantic_minus_fixed,0.00416666666666668,4,-0.018055555555555547,0.029166666666666757
hotpotqa,0,4,0,remote,16,4,jaccard,semantic_minus_fixed,-0.04732142857142849,4,-0.15744047619047608,0.0627976190476191
hotpotqa,0,4,0,remote,16,8,jaccard,semantic_minus_fixed,0.007377344877344871,4,-0.051367382617382606,0.05143745143745143
hotpotqa,0,4,0,remote,32,4,jaccard,semantic_minus_fixed,0.0011904761904762695,4,-0.01904761904761898,0.021726190476190455
hotpotqa,0,4,0,remote,32,8,jaccard,semantic_minus_fixed,-0.009848484848484912,4,-0.04633838383838401,0.027525252525252536
hotpotqa,0,4,0,remote,64,4,jaccard,semantic_minus_fixed,0.05416666666666661,4,0.017857142857142766,0.08571428571428569
hotpotqa,0,4,0,remote,64,8,jaccard,semantic_minus_fixed,0.021654040404040287,4,-0.012563131313131415,0.051010101010100894
hotpotqa,0,5,0,local,16,4,jaccard,semantic_minus_fixed,0.07202380952380957,4,0.03005952380952384,0.12232142857142869
hotpotqa,0,5,0,local,16,8,jaccard,semantic_minus_fixed,0.09722222222222232,4,0.06578282828282828,0.12462121212121224
hotpotqa,0,5,0,local,32,4,jaccard,semantic_minus_fixed,0.07291666666666671,4,0.03333333333333338,0.11875000000000002
hotpotqa,0,5,0,local,32,8,jaccard,semantic_minus_fixed,0.012436868686868718,4,-0.010858585858585845,0.037555239898989866
hotpotqa,0,5,0,local,64,4,jaccard,semantic_minus_fixed,0.020833333333333343,4,-0.04166666666666666,0.09999999999999998
hotpotqa,0,5,0,local,64,8,jaccard,semantic_minus_fixed,0.000694444444444442,4,-0.018055555555555547,0.03560606060606056
hotpotqa,0,5,0,remote,16,4,jaccard,semantic_minus_fixed,0.06041666666666673,4,-0.010119047619047528,0.130952380952381
hotpotqa,0,5,0,remote,16,8,jaccard,semantic_minus_fixed,0.02273698523698542,4,-0.030846930846930798,0.08558663558663587
hotpotqa,0,5,0,remote,32,4,jaccard,semantic_minus_fixed,-0.020833333333333398,4,-0.06904761904761914,0.045833333333333254
hotpotqa,0,5,0,remote,32,8,jaccard,semantic_minus_fixed,-0.02377067377067374,4,-0.0751415251415252,0.019083694083694147
hotpotqa,0,5,0,remote,64,4,jaccard,semantic_minus_fixed,0.022023809523809446,4,-0.03392857142857153,0.07499999999999996
hotpotqa,0,5,0,remote,64,8,jaccard,semantic_minus_fixed,0.0005050505050505083,4,-0.02430555555555558,0.04791666666666672
hotpotqa,0,6,0,local,16,4,jaccard,semantic_minus_fixed,0.08452380952380953,4,0.022023809523809446,0.1470238095238096
hotpotqa,0,6,0,local,16,8,jaccard,semantic_minus_fixed,0.06199494949494955,4,0.029040404040404144,0.08333333333333337
hotpotqa,0,6,0,local,32,4,jaccard,semantic_minus_fixed,0.06666666666666671,4,0.012500000000000011,0.1229166666666667
hotpotqa,0,6,0,local,32,8,jaccard,semantic_minus_fixed,0.06433080808080804,4,0.03888888888888892,0.09476010101010102
hotpotqa,0,6,0,local,64,4,jaccard,semantic_minus_fixed,0.0967261904761905,4,0.07291666666666669,0.11666666666666675
hotpotqa,0,6,0,local,64,8,jaccard,semantic_minus_fixed,0.04930555555555549,4,0.01944444444444443,0.07916666666666655
hotpotqa,0,6,0,remote,16,4,jaccard,semantic_minus_fixed,-0.05148809523809521,4,-0.11443452380952372,-0.0035714285714285587
hotpotqa,0,6,0,remote,16,8,jaccard,semantic_minus_fixed,-0.030447330447330445,4,-0.09476356976356975,0.05265220890220901
hotpotqa,0,6,0,remote,32,4,jaccard,semantic_minus_fixed,-0.09464285714285717,4,-0.13690476190476197,-0.045238095238095216
hotpotqa,0,6,0,remote,32,8,jaccard,semantic_minus_fixed,-0.010101010101010166,4,-0.08112373737373738,0.06319444444444433
hotpotqa,0,6,0,remote,64,4,jaccard,semantic_minus_fixed,0.0017857142857143071,4,-0.05624999999999997,0.06160714285714289
hotpotqa,0,6,0,remote,64,8,jaccard,semantic_minus_fixed,-0.015277777777777751,4,-0.034722222222222154,0.004166666666666652
hotpotqa,0,7,1,local,16,4,jaccard,semantic_minus_fixed,0.017708333333333215,4,-0.022470238095238182,0.05183035714285698
hotpotqa,0,7,1,local,16,8,jaccard,semantic_minus_fixed,0.09393939393939399,4,0.054551767676767844,0.11704545454545456
hotpotqa,0,7,1,local,32,4,jaccard,semantic_minus_fixed,0.10505952380952377,4,0.04583333333333328,0.16428571428571426
hotpotqa,0,7,1,local,32,8,jaccard,semantic_minus_fixed,0.1379419191919192,4,0.1212121212121213,0.16098484848484845
hotpotqa,0,7,1,local,64,4,jaccard,semantic_minus_fixed,0.04464285714285718,4,0.016666666666666663,0.06428571428571433
hotpotqa,0,7,1,local,64,8,jaccard,semantic_minus_fixed,0.03301767676767678,4,0.008522727272727293,0.06306818181818183
hotpotqa,0,7,1,remote,16,4,jaccard,semantic_minus_fixed,-0.05565476190476194,4,-0.09846726190476184,-0.019047619047619174
hotpotqa,0,7,1,remote,16,8,jaccard,semantic_minus_fixed,-0.045785464535464504,4,-0.15919705294705289,0.05016650016650012
hotpotqa,0,7,1,remote,32,4,jaccard,semantic_minus_fixed,-0.004166666666666652,4,-0.05297619047619043,0.039583333333333304
hotpotqa,0,7,1,remote,32,8,jaccard,semantic_minus_fixed,-0.006313131313131354,4,-0.04419191919191923,0.03156565656565652
hotpotqa,0,7,1,remote,64,4,jaccard,semantic_minus_fixed,0.04166666666666671,4,-0.0062499999999998945,0.09375
hotpotqa,0,7,1,remote,64,8,jaccard,semantic_minus_fixed,0.009027777777777746,4,-0.02777777777777779,0.04583333333333328
hotpotqa,0,8,1,local,16,4,jaccard,semantic_minus_fixed,0.06413690476190474,4,-0.013988095238095341,0.14404761904761904
hotpotqa,0,8,1,local,16,8,jaccard,semantic_minus_fixed,0.0851010101010101,4,0.04816287878787872,0.11742424242424243
hotpotqa,0,8,1,local,32,4,jaccard,semantic_minus_fixed,0.1166666666666667,4,0.0604166666666667,0.2041666666666667
hotpotqa,0,8,1,local,32,8,jaccard,semantic_minus_fixed,0.09450757575757571,4,0.061174242424242325,0.12537878787878798
hotpotqa,0,8,1,local,64,4,jaccard,semantic_minus_fixed,0.09791666666666668,4,0.0708333333333333,0.13749999999999998
hotpotqa,0,8,1,local,64,8,jaccard,semantic_minus_fixed,0.04602272727272716,4,0.034027777777777574,0.05732323232323222
hotpotqa,0,8,1,remote,16,4,jaccard,semantic_minus_fixed,0.05029761904761906,4,-0.007738095238095266,0.10833333333333339
hotpotqa,0,8,1,remote,16,8,jaccard,semantic_minus_fixed,0.054422660672660605,4,0.024226467976467908,0.07468781218781217
hotpotqa,0,8,1,remote,32,4,jaccard,semantic_minus_fixed,0.026488095238095227,4,-0.06607142857142861,0.14791666666666667
hotpotqa,0,8,1,remote,32,8,jaccard,semantic_minus_fixed,0.002588383838383862,4,-0.05909090909090908,0.05296717171717172
hotpotqa,0,8,1,remote,64,4,jaccard,semantic_minus_fixed,0.10625000000000001,4,0.04374999999999994,0.17500000000000004
hotpotqa,0,8,1,remote,64,8,jaccard,semantic_minus_fixed,0.022916666666666696,4,-0.0013888888888888284,0.04524305555555548
hotpotqa,0,9,1,local,16,4,jaccard,semantic_minus_fixed,0.1032738095238096,4,0.052976190476190566,0.16755952380952396
hotpotqa,0,9,1,local,16,8,jaccard,semantic_minus_fixed,0.09204545454545451,4,0.050378787878787856,0.13371212121212117
hotpotqa,0,9,1,local,32,4,jaccard,semantic_minus_fixed,0.12291666666666673,4,0.05625000000000005,0.18552083333333327
hotpotqa,0,9,1,local,32,8,jaccard,semantic_minus_fixed,0.10107323232323226,4,0.029987373737373813,0.1811868686868686
hotpotqa,0,9,1,local,64,4,jaccard,semantic_minus_fixed,0.048809523809523775,4,0.010119047619047583,0.08749999999999997
hotpotqa,0,9,1,local,64,8,jaccard,semantic_minus_fixed,0.01666666666666669,4,-0.01862373737373732,0.048120265151515074
hotpotqa,0,9,1,remote,16,4,jaccard,semantic_minus_fixed,-0.0007440476190475609,4,-0.06830357142857135,0.050297619047619146
hotpotqa,0,9,1,remote,16,8,jaccard,semantic_minus_fixed,0.00204448329448334,4,-0.06742424242424244,0.07151320901320912
hotpotqa,0,9,1,remote,32,4,jaccard,semantic_minus_fixed,0.04375000000000001,4,-0.027083333333333348,0.09791666666666671
hotpotqa,0,9,1,remote,32,8,jaccard,semantic_minus_fixed,0.009217171717171707,4,-0.02992424242424241,0.05719696969696961
hotpotqa,0,9,1,remote,64,4,jaccard,semantic_minus_fixed,-0.03125000000000003,4,-0.09375000000000008,0.012500000000000011
hotpotqa,0,9,1,remote,64,8,jaccard,semantic_minus_fixed,-0.01041666666666663,4,-0.059027777777777624,0.020833333333333315
hotpotqa,0,10,1,local,16,4,jaccard,semantic_minus_fixed,0.12619047619047624,4,0.05238095238095247,0.19278273809523788
hotpotqa,0,10,1,local,16,8,jaccard,semantic_minus_fixed,0.09412878787878787,4,0.07986111111111116,0.10334595959595955
hotpotqa,0,10,1,local,32,4,jaccard,semantic_minus_fixed,0.12083333333333335,4,0.07083333333333336,0.1865104166666667
hotpotqa,0,10,1,local,32,8,jaccard,semantic_minus_fixed,0.021527777777777812,4,0.01363636363636378,0.026767676767676718
hotpotqa,0,10,1,local,64,4,jaccard,semantic_minus_fixed,0.0449404761904762,4,-0.008928571428571425,0.09374999999999997
hotpotqa,0,10,1,local,64,8,jaccard,semantic_minus_fixed,0.01837121212121212,4,-0.02266414141414136,0.03888888888888886
hotpotqa,0,10,1,remote,16,4,jaccard,semantic_minus_fixed,0.007589285714285701,4,-0.07395833333333338,0.07916666666666669
hotpotqa,0,10,1,remote,16,8,jaccard,semantic_minus_fixed,-0.01942016317016318,4,-0.11168276168276176,0.0728424353424354
hotpotqa,0,10,1,remote,32,4,jaccard,semantic_minus_fixed,0.03720238095238093,4,-0.11250000000000013,0.16636904761904767
hotpotqa,0,10,1,remote,32,8,jaccard,semantic_minus_fixed,0.03674242424242424,4,-0.03156565656565652,0.105050505050505
hotpotqa,0,10,1,remote,64,4,jaccard,semantic_minus_fixed,-0.031249999999999944,4,-0.06666666666666651,-0.0062500000000000056
hotpotqa,0,10,1,remote,64,8,jaccard,semantic_minus_fixed,-0.05069444444444429,4,-0.08194444444444432,-0.019444444444444264
hotpotqa,0,11,1,local,16,4,jaccard,semantic_minus_fixed,0.12336309523809529,4,0.03452380952380962,0.23809523809523808
hotpotqa,0,11,1,local,16,8,jaccard,semantic_minus_fixed,0.08440656565656568,4,0.02638888888888899,0.14905303030303033
hotpotqa,0,11,1,local,32,4,jaccard,semantic_minus_fixed,0.09166666666666673,4,0.05625000000000005,0.14791666666666672
hotpotqa,0,11,1,local,32,8,jaccard,semantic_minus_fixed,0.050189393939393895,4,0.03345959595959594,0.06527777777777771
hotpotqa,0,11,1,local,64,4,jaccard,semantic_minus_fixed,0.0071428571428571175,4,-0.00654761904761908,0.031249999999999972
hotpotqa,0,11,1,local,64,8,jaccard,semantic_minus_fixed,-0.01130050505050506,4,-0.04147727272727278,0.01420454545454547
hotpotqa,0,11,1,remote,16,4,jaccard,semantic_minus_fixed,0.02931547619047617,4,-0.03720238095238104,0.11175595238095243
hotpotqa,0,11,1,remote,16,8,jaccard,semantic_minus_fixed,0.0003933566433566571,4,-0.03534243534243531,0.03612914862914862
hotpotqa,0,11,1,remote,32,4,jaccard,semantic_minus_fixed,-0.04077380952380941,4,-0.07410714285714279,-0.014880952380952162
hotpotqa,0,11,1,remote,32,8,jaccard,semantic_minus_fixed,0.013320707070707122,4,-0.003284406565656528,0.027777777777777846
hotpotqa,0,11,1,remote,64,4,jaccard,semantic_minus_fixed,-0.014583333333333365,4,-0.08750000000000002,0.05833333333333329
hotpotqa,0,11,1,remote,64,8,jaccard,semantic_minus_fixed,-0.015467171717171685,4,-0.05820707070707057,0.017361111111111105
hotpotqa,0,12,1,local,16,4,jaccard,semantic_minus_fixed,0.1401785714285714,4,0.02419642857142861,0.25148809523809523
hotpotqa,0,12,1,local,16,8,jaccard,semantic_minus_fixed,0.08125000000000004,4,0.04722222222222233,0.11736111111111108
hotpotqa,0,12,1,local,32,4,jaccard,semantic_minus_fixed,0.07916666666666666,4,0.03125,0.11875
hotpotqa,0,12,1,local,32,8,jaccard,semantic_minus_fixed,0.0465909090909091,4,0.02487373737373741,0.05820707070707079
hotpotqa,0,12,1,local,64,4,jaccard,semantic_minus_fixed,0.014583333333333365,4,-0.012500000000000011,0.04166666666666674
hotpotqa,0,12,1,local,64,8,jaccard,semantic_minus_fixed,0.00694444444444442,4,-0.00694444444444442,0.02083333333333326
hotpotqa,0,12,1,remote,16,4,jaccard,semantic_minus_fixed,0.0014880952380952328,4,-0.06666666666666665,0.06964285714285712
hotpotqa,0,12,1,remote,16,8,jaccard,semantic_minus_fixed,0.01339563214563222,4,-0.05108849483849487,0.0758838383838385
hotpotqa,0,12,1,remote,32,4,jaccard,semantic_minus_fixed,0.051785714285714324,4,0.010416666666666768,0.10982142857142854
hotpotqa,0,12,1,remote,32,8,jaccard,semantic_minus_fixed,0.023611111111111027,4,-0.017487373737373885,0.06054292929292929
hotpotqa,0,12,1,remote,64,4,jaccard,semantic_minus_fixed,0.0029761904761904656,4,-0.062499999999999944,0.04999999999999999
hotpotqa,0,12,1,remote,64,8,jaccard,semantic_minus_fixed,0.009722222222222243,4,5.551115123125783e-17,0.01944444444444443
hotpotqa,0,13,1,local,16,4,jaccard,semantic_minus_fixed,0.19687500000000002,4,0.04092261904761893,0.3074404761904763
hotpotqa,0,13,1,local,16,8,jaccard,semantic_minus_fixed,0.09116161616161617,4,0.08055555555555555,0.10176767676767678
hotpotqa,0,13,1,local,32,4,jaccard,semantic_minus_fixed,0.0916666666666667,4,0.059218749999999994,0.11875000000000002
hotpotqa,0,13,1,local,32,8,jaccard,semantic_minus_fixed,0.05574494949494957,4,-0.01376262626262617,0.12715119949494944
hotpotqa,0,13,1,local,64,4,jaccard,semantic_minus_fixed,0.06755952380952376,4,-0.012500000000000067,0.11845238095238092
hotpotqa,0,13,1,local,64,8,jaccard,semantic_minus_fixed,0.026578282828282895,4,-0.02083333333333326,0.07398989898989905
hotpotqa,0,13,1,remote,16,4,jaccard,semantic_minus_fixed,0.03869047619047611,4,0.007291666666666585,0.0730245535714284
hotpotqa,0,13,1,remote,16,8,jaccard,semantic_minus_fixed,-0.014622183372183406,4,-0.06452020202020206,0.03465909090909086
hotpotqa,0,13,1,remote,32,4,jaccard,semantic_minus_fixed,-0.02916666666666662,4,-0.04166666666666659,-0.016666666666666663
hotpotqa,0,13,1,remote,32,8,jaccard,semantic_minus_fixed,-0.02159090909090916,4,-0.05561868686868693,0.006186868686868574
hotpotqa,0,13,1,remote,64,4,jaccard,semantic_minus_fixed,0.0008928571428571397,4,-0.050000000000000044,0.051785714285714324
hotpotqa,0,13,1,remote,64,8,jaccard,semantic_minus_fixed,0.016666666666666635,4,-0.02777777777777779,0.06111111111111106
hotpotqa,0,14,2,local,16,4,jaccard,semantic_minus_fixed,-0.033333333333333326,4,-0.06874999999999998,-0.0019791666666667397
hotpotqa,0,14,2,local,16,8,jaccard,semantic_minus_fixed,0.009722222222222215,4,-0.02638888888888885,0.03472222222222221
hotpotqa,0,14,2,local,32,4,jaccard,semantic_minus_fixed,0.0750000000000001,4,0.0500000000000001,0.10625000000000012
hotpotqa,0,14,2,local,32,8,jaccard,semantic_minus_fixed,0.04608585858585856,4,-0.013636363636363696,0.09053030303030302
hotpotqa,0,14,2,local,64,4,jaccard,semantic_minus_fixed,0.07500000000000004,4,0.03749999999999998,0.1145833333333334
hotpotqa,0,14,2,local,64,8,jaccard,semantic_minus_fixed,0.03838383838383835,4,0.029166666666666674,0.04570707070707064
hotpotqa,0,14,2,remote,16,4,jaccard,semantic_minus_fixed,-0.017261904761904867,4,-0.09732142857142873,0.09970238095238082
hotpotqa,0,14,2,remote,16,8,jaccard,semantic_minus_fixed,-0.03519397269397265,4,-0.10517676767676754,0.03392024642024641
hotpotqa,0,14,2,remote,32,4,jaccard,semantic_minus_fixed,-0.008333333333333331,4,-0.09166666666666673,0.09375
hotpotqa,0,14,2,remote,32,8,jaccard,semantic_minus_fixed,0.012373737373737342,4,-0.084469696969697,0.09482323232323236
hotpotqa,0,14,2,remote,64,4,jaccard,semantic_minus_fixed,0.04999999999999996,4,-0.05208333333333348,0.1354166666666667
hotpotqa,0,14,2,remote,64,8,jaccard,semantic_minus_fixed,0.031249999999999972,4,0.0013888888888889117,0.06041666666666656
hotpotqa,0,15,2,local,16,4,jaccard,semantic_minus_fixed,0.07797619047619042,4,0.01428571428571429,0.17916666666666656
hotpotqa,0,15,2,local,16,8,jaccard,semantic_minus_fixed,0.09305555555555559,4,0.04791666666666666,0.12676767676767675
hotpotqa,0,15,2,local,32,4,jaccard,semantic_minus_fixed,0.09583333333333338,4,0.045625000000000054,0.1625
hotpotqa,0,15,2,local,32,8,jaccard,semantic_minus_fixed,0.025568181818181823,4,-0.0626262626262627,0.12405303030303033
hotpotqa,0,15,2,local,64,4,jaccard,semantic_minus_fixed,0.03630952380952385,4,-0.003273809523809429,0.08958333333333332
hotpotqa,0,15,2,local,64,8,jaccard,semantic_minus_fixed,0.029166666666666674,4,0.01906565656565662,0.04255050505050509
hotpotqa,0,15,2,remote,16,4,jaccard,semantic_minus_fixed,0.02678571428571426,4,-0.03214285714285717,0.08571428571428569
hotpotqa,0,15,2,remote,16,8,jaccard,semantic_minus_fixed,0.06286595349095343,4,0.0011963730713729775,0.13452797202797198
hotpotqa,0,15,2,remote,32,4,jaccard,semantic_minus_fixed,-0.02991071428571429,4,-0.09331473214285713,0.02857142857142858
hotpotqa,0,15,2,remote,32,8,jaccard,semantic_minus_fixed,-0.05928654678654685,4,-0.13223373848373848,0.002496219058718873
hotpotqa,0,15,2,remote,64,4,jaccard,semantic_minus_fixed,-0.027083333333333404,4,-0.12083333333333329,0.04791666666666644
hotpotqa,0,15,2,remote,64,8,jaccard,semantic_minus_fixed,-0.032638888888888745,4,-0.07499999999999996,0.017234848484848797
hotpotqa,0,16,2,local,16,4,jaccard,semantic_minus_fixed,0.1729166666666667,4,0.10833333333333328,0.2645833333333334
hotpotqa,0,16,2,local,16,8,jaccard,semantic_minus_fixed,0.09343434343434348,4,0.04652777777777786,0.1320075757575758
hotpotqa,0,16,2,local,32,4,jaccard,semantic_minus_fixed,0.11041666666666675,4,0.050000000000000044,0.14583333333333343
hotpotqa,0,16,2,local,32,8,jaccard,semantic_minus_fixed,0.039457070707070746,4,-0.022222222222222143,0.10113636363636364
hotpotqa,0,16,2,local,64,4,jaccard,semantic_minus_fixed,0.07500000000000004,4,0.050000000000000044,0.11875000000000005
hotpotqa,0,16,2,local,64,8,jaccard,semantic_minus_fixed,0.06357323232323236,4,0.03648989898989902,0.10574494949494948
hotpotqa,0,16,2,remote,16,4,jaccard,semantic_minus_fixed,-0.04776785714285714,4,-0.12038690476190468,0.03541666666666665
hotpotqa,0,16,2,remote,16,8,jaccard,semantic_minus_fixed,-0.028234265734265823,4,-0.07331002331002345,0.02393648018648009
hotpotqa,0,16,2,remote,32,4,jaccard,semantic_minus_fixed,-0.07499999999999996,4,-0.12083333333333329,-0.041666666666666574
hotpotqa,0,16,2,remote,32,8,jaccard,semantic_minus_fixed,-0.028661616161616166,4,-0.056249999999999994,-0.012249053030303098
hotpotqa,0,16,2,remote,64,4,jaccard,semantic_minus_fixed,-0.005357142857142866,4,-0.018749999999999933,0.002678571428571336
hotpotqa,0,16,2,remote,64,8,jaccard,semantic_minus_fixed,0.018939393939393923,4,0.01282986111111111,0.025378787878787834
hotpotqa,0,17,2,local,16,4,jaccard,semantic_minus_fixed,0.16666666666666669,4,0.09553571428571428,0.22738095238095235
hotpotqa,0,17,2,local,16,8,jaccard,semantic_minus_fixed,0.0909722222222222,4,0.062430555555555475,0.12847222222222232
hotpotqa,0,17,2,local,32,4,jaccard,semantic_minus_fixed,0.10625000000000007,4,0.06250000000000006,0.16250000000000006
hotpotqa,0,17,2,local,32,8,jaccard,semantic_minus_fixed,0.12140151515151518,4,0.10972222222222228,0.13592171717171717
hotpotqa,0,17,2,local,64,4,jaccard,semantic_minus_fixed,0.06547619047619047,4,0.014479166666666661,0.10892857142857146
hotpotqa,0,17,2,local,64,8,jaccard,semantic_minus_fixed,0.03888888888888889,4,0.009722222222222215,0.058333333333333376
hotpotqa,0,17,2,remote,16,4,jaccard,semantic_minus_fixed,-0.1587797619047619,4,-0.2568452380952381,-0.06071428571428569
hotpotqa,0,17,2,remote,16,8,jaccard,semantic_minus_fixed,-0.034785353535353614,4,-0.10261679292929307,0.046464646464646486
